quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,exports,imports,debt_to_gdp,interest_rate,pcpi,transfer_payments_ratio,federal_expenditures,personal_tax_rates,corporate_tax_rates,government_transfer_payments,federal_surplus,trade_balance,simulation_type
2043Q1,1.838590435287531,514.4092757413538,3.301979788042907,33130.33803473934,59850.916692161874,4923.204977749209,3906.4754186881414,12483.340696958849,9428.544296739594,48870.66938315184,4.287557492094224,514.4092757413538,0.158002607514334,729.7163621770424,0.337738874094449,0.36418186749477366,9234.197555962066,-1316.355661129895,3054.796400219255,RL-FRB/US Agent
2043Q2,1.8349118079278355,517.2249884613597,3.287196979637218,33282.66527258012,60457.46404887305,4943.469248328252,3966.1831551728146,12616.772118575564,9525.592833198265,49232.94517247403,4.313167536655958,517.2249884613597,0.158002607514334,736.5498925380425,0.337738874094449,0.36418186749477366,9322.92399475457,-1341.7621826742306,3091.1792853772986,RL-FRB/US Agent
2043Q3,1.8421667241347994,520.0639569688552,3.271502305516659,33436.29932158992,61072.195620323124,4966.423172920962,4026.832758151966,12750.666388572094,9623.533950811963,49573.95816418088,4.339869982498586,520.0639569688552,0.158002607514334,686.1064676669848,0.337738874094449,0.36418186749477366,9412.665228785703,-1263.0110803976254,3127.1324377601304,RL-FRB/US Agent
2043Q4,1.8249087636931225,522.9260203460117,3.2575304255258146,33589.19331752599,61691.11623728096,4984.208379149716,4087.433333044217,12885.125257088206,9722.219865614668,49973.3321975448,4.366862090055067,522.9260203460117,0.158002607514334,797.6201810664993,0.337738874094449,0.36418186749477366,9503.39135049466,-1479.1630865313095,3162.9053914735377,RL-FRB/US Agent
2044Q1,1.810248834345194,525.8109453111135,3.245200140262639,33741.54980655825,62314.81610876223,5018.069973426373,4148.325269168848,13020.302501397071,9820.685805168996,50377.40725573604,4.393560496340239,525.8109453111135,0.158002607514334,804.5039621775993,0.337738874094449,0.36418186749477366,9595.21785857116,-1496.5742895971862,3199.616696228075,RL-FRB/US Agent
2044Q2,1.8002308797421338,528.7185355582544,3.234197766077529,33893.74849035046,62944.13512160012,5053.543213039178,4209.679990167199,13156.216856200255,9919.321005961023,50786.11118390627,4.419649757950651,528.7185355582544,0.158002607514334,811.4085079102992,0.337738874094449,0.36418186749477366,9688.22137093583,-1513.7182524839222,3236.8958502392325,RL-FRB/US Agent
2044Q3,1.7945156392244732,531.6486445222088,3.224142271583059,34046.14724151475,63579.653282854124,5090.544073182835,4271.677759686554,13292.88630043903,10018.553421478142,51199.3348705038,4.445025947205261,531.6486445222088,0.158002607514334,818.3353834037991,0.337738874094449,0.36418186749477366,9782.416699230302,-1530.4580985075531,3274.3328789608877,RL-FRB/US Agent
2024Q1,1.5927709582157943,310.94950955867245,3.783214045012905,23052.209712725402,28622.2857411682,3002.153767813233,991.2588876242886,3125.4288889792892,3966.7300342958392,29839.770630595413,5.329135915349296,310.94950955867245,0.157422896349457,722.0221209712806,0.23773888750549413,0.2641821938302038,4101.552463483887,-1022.1391051566825,-841.30114531655,RL-FRB/US Agent without Tariff
2024Q2,2.4423825371187036,313.16451160441784,4.017472269866882,23193.396099141562,28977.253851114187,2996.915727337774,1398.7570829384586,3154.5113144323377,4054.9551741422238,29671.50747307312,5.309673997207332,313.16451160441784,0.158002607514334,736.6611193984927,0.3377388889956102,0.36418092872161845,4219.901704358119,-712.2683460299763,-900.443859709886,RL-FRB/US Agent without Tariff
2024Q3,0.7554614835885252,315.46473320040144,4.421020051000845,23237.241784336926,29111.794014053452,2889.8698075511757,1416.2592428504192,3167.627262722023,4128.055178878264,29399.01472615321,4.884056754229804,315.46473320040144,0.158002607514334,506.4998994398077,0.3377388889956102,0.36418092872161845,4306.308134787023,-642.6639823338123,-960.4279161562413,RL-FRB/US Agent without Tariff
