quarter,gdp_growth,inflation,unemployment,real_gdp,nominal_gdp,personal_tax,corporate_tax,personal_tax_rates,corporate_tax_rates,exports,imports,trade_balance,net_foreign_investment_income,debt_to_gdp,interest_rate,transfer_payments_ratio,federal_expenditures,government_transfer_payments,federal_surplus,ten_year_treasury_bond_rate,simulation_type
2005Q4,2.1815781247674693,196.29132582767437,5.0132107889962745,16015.5953290062,13064.118354781807,1309.226566351004,375.23402266768386,0.1443613208779212,0.19822490900608314,1343.232130126778,2117.5305580091954,-802.0910478119029,58.88914401225549,5420.236576122153,3.976666666666667,0.117290253201153,761.4764461794326,1397.704920071379,-210.77587511180218,4.5819431958911485,FRB/US FTPL
2006Q1,5.304365602884076,197.27538157606773,4.773662999069493,16229.391192696392,13329.429688887574,1370.226463074107,385.3550045164957,0.1441509531552347,0.19529839314640046,1404.1145260060052,2165.2019214912434,-762.7554317653155,60.179814672121545,5545.421458998806,4.467258064516129,0.117740204591795,793.6423887013275,1443.4626462290746,-196.09893716296236,4.657697346655163,FRB/US FTPL
2006Q2,1.0127230536078005,199.01553453889883,4.708034510436482,16270.532948742779,13477.028671060047,1396.014255508584,392.02132647460434,0.14355914830837951,0.19167411819538688,1447.6271236364967,2212.695981609382,-784.8418050750505,54.051530261816986,5467.417672470979,4.90375,0.118195099704595,786.3629247229396,1463.8186800722988,-188.5129360426917,5.141328230737469,FRB/US FTPL
2006Q3,0.550556687525017,200.84522834601992,4.701420428533651,16292.942994516905,13587.124086819902,1406.4353073812902,407.45067350189464,0.1437659311415675,0.18870201276251877,1461.2473049970547,2256.1439625415,-838.6132001544067,41.579895913027634,5513.318396673156,5.249365079365077,0.118654868138452,774.5526980181695,1488.8661316869723,-170.3656936245986,4.953533872869522,FRB/US FTPL
2006Q4,3.362392285854554,199.94252454995754,4.501960245278159,16430.47840927628,13748.76406323393,1458.5805755336257,370.82312574528595,0.14413977474225273,0.18598465073634066,1514.954437124282,2226.1501605614626,-741.7335577478623,49.352172902065774,5587.164733507986,5.245645161290323,0.119119432239517,792.3067450292284,1486.566989868642,-151.34850766924106,4.691676174896362,FRB/US FTPL
2007Q1,1.1565688044264282,201.85726283249716,4.575950025524121,16478.054604484187,13917.306545944593,1516.4273993171066,374.1269903839113,0.14395517518649645,0.182718066650064,1559.0688979159538,2272.3277397037577,-767.964886272349,48.17810172982314,5706.799132723613,5.261935483870968,0.119588707101234,785.837615428115,1559.4485799719976,-161.5966810614121,4.751564014622556,FRB/US FTPL
2007Q2,2.41025862875901,204.11257887730272,4.541070332081836,16577.6452855146,14096.255306515743,1544.0725471001665,364.1073702285693,0.1435777197545371,0.17906074877655595,1601.4800711430453,2321.8915063039685,-741.1109521850542,66.26892850835723,5580.74609247153,5.248906249999999,0.120062598960474,805.4086734213108,1549.3007320865572,-186.97488262120507,4.918166673956683,FRB/US FTPL
2007Q3,2.258831366685143,205.33472481035244,4.709089849980493,16671.52537303211,14251.612304382992,1546.5489130029375,328.2930567148974,0.14357286128512312,0.17563531014434292,1661.7844112699474,2366.500202788872,-672.9301432034196,121.64976623760597,5687.33472859416,5.09031746031746,0.12054100839862,812.5287537811018,1569.07652443501,-232.68776840842202,4.840706894534482,FRB/US FTPL
2007Q4,2.4399813402212094,207.80036951005857,4.851840131170485,16773.53170071075,14394.358195180821,1565.4068447911511,310.67993979743846,0.14407768317305727,0.1728872842591636,1724.0741400719774,2430.047905012701,-639.6368175471287,164.0698265600391,5802.0542752637075,4.496451612903225,0.121023827622191,830.4820242719711,1604.068233921559,-264.8727456399061,4.40812168675844,FRB/US FTPL
2008Q1,-1.791490804066598,210.02645361058208,5.050508497270373,16698.575610455173,14380.918752808368,1595.4538877833083,253.486010072376,0.14459561393733075,0.17057491351211987,1783.9516480688883,2530.7360072457113,-698.7183419431119,154.5184322716647,5964.846923023555,3.168870967741936,0.121510940045049,845.3519514207816,1637.0017381415155,-339.5511844718734,3.8672128478735757,FRB/US FTPL
